,analyst_estimated_eps,next_period
764,2.3829917894736843,2.112228
765,5.6580144210526315,5.64402
766,10.062393578947368,9.768145
767,10.062393578947368,9.768145
768,9.563894571428571,10.665969
769,2.8012676315789475,2.826601
770,11.784472709677418,11.819519
771,12.064616024390244,12.257636
772,6.087639,5.614812
773,-4.453532,-14.847251
774,3.3535117647058823,3.231016
775,4.990567333333333,4.942234
776,34.95021933333334,35.025722
777,0.507613,-0.190267
778,6.687857142857142,6.766587
779,0.507613,-0.190267
780,6.687857142857142,6.766587
781,7.1721770000000005,7.518038
782,1.5711665555555554,2.318199
783,8.905065315789473,8.604539
784,10.066023090909091,5.914022
785,22.604079523809528,22.4806
786,10.066023090909091,5.914022
787,10.795914588235295,9.900159
788,4.426614000000001,4.332963
789,25.913448000000002,25.682064
790,14.7495,14.76
791,2.745300952380952,2.759479
792,12.015586090909093,12.257636
793,7.217310894736843,6.593567
794,2.4674067,2.5647037
795,2.3896955714285713,2.445242
796,2.7529199999999996,2.759479
797,3.3526544814814816,3.481173
798,18.924008411764706,20.053676
799,9.547463538461539,9.482267
800,9.547463538461539,9.482267
801,26.709664,26.331573
802,8.004607333333333,7.575351
803,18.906214285714285,21.904158
804,13.984583333333333,14.04
805,7.560754478260868,7.563367
806,10.755341000000001,10.489713
807,4.482153,4.450472
808,10.065437333333334,10.08461
809,5.717188,5.862196
810,-15.420964181818182,-19.113701
811,2.867461294117647,2.88126
812,9.788977,9.418219
813,9.788977,9.418219
814,9.788977,9.418219
815,2.0836856363636365,1.676187
816,9.126533666666669,9.294591
817,9.126533666666669,9.753041
818,12.523831857142856,12.522272
819,22.326552210526316,22.395785
820,12.523831857142856,12.522272
821,9.993081,9.801915
822,-0.5126123333333333,-2.873379
823,5.546311,5.748232
824,6.964862862068965,6.986587
825,6.964862862068965,6.986587
826,-0.5126123333333333,-2.873379
827,7.901578947368421,7.810159
828,37.44469933333333,41.604579
829,2.8637361764705886,2.760546
830,7.482327428571429,7.16906
831,10.171079315789473,8.315594
832,11.821302580645163,11.916849
833,11.77221706060606,12.007534
834,4.654886076923077,4.898923
835,2.9886649999999997,2.742127
836,14.921388888888892,0.0
837,2.9886649999999997,2.742127
838,2.897139355555556,2.9724268
839,7.597063333333334,6.874995
840,2.4829441515151514,2.505868
841,2.7999824137931033,3.03481
